modelo,variavel,h,q16,q50,q84
6 lags,PIB real,28,-0.17790778268178736,0.005543269782965829,0.18142039624013245
6 lags,PIB real,29,-0.18110487142030307,0.005109300924259696,0.1828451858750892
6 lags,PIB real,30,-0.18494055972441173,0.0031524668794587823,0.18127331438185612
6 lags,PIB real,31,-0.18625688014333844,7.776642915208322e-4,0.17666854089074271
6 lags,PIB real,32,-0.18657582413436363,-1.1936668025411398e-4,0.1759356858220917
6 lags,PIB real,33,-0.19200692695917557,-0.0023243687706060055,0.17573968158924022
6 lags,PIB real,34,-0.19696889279390775,-0.002582242489760939,0.17454691738154776
6 lags,PIB real,35,-0.20013017345341214,-0.00415265216651597,0.17147642597456167
6 lags,PIB real,36,-0.203370267456266,-0.005021168700079737,0.1718981032260231
6 lags,PIB real,37,-0.20368735052647333,-0.007045600508055936,0.17498505562365166
6 lags,PIB real,38,-0.20165440483808486,-0.012638183494068964,0.16812447631671582
6 lags,PIB real,39,-0.20470869075615322,-0.015365163753503601,0.1657884297133365
6 lags,PIB real,40,-0.2031965691279933,-0.016822267606054313,0.16720500288756018
6 lags,PIB real,41,-0.20211472536820407,-0.01679253829934428,0.170074134316751
6 lags,PIB real,42,-0.20292287845796578,-0.01643660314769145,0.17257705456826272
6 lags,PIB real,43,-0.20408894165814373,-0.016951032294458386,0.17488978045639791
6 lags,PIB real,44,-0.20516999243159573,-0.018465557845560768,0.17643025641711335
6 lags,PIB real,45,-0.20617083158738483,-0.021843096572317505,0.1791636716486292
6 lags,PIB real,46,-0.207412173778609,-0.023466953933106285,0.18187934322173302
6 lags,PIB real,47,-0.20844113366790304,-0.024012419647132938,0.18217341135851223
6 lags,PIB real,48,-0.2093508407528461,-0.024003643164422467,0.1795743904443774
6 lags,PIB real,49,-0.20946873797875817,-0.024038161641401323,0.17617972903428758
6 lags,PIB real,50,-0.21049843856557374,-0.02443842982934233,0.17047906016527062
6 lags,PIB real,51,-0.2107192475320212,-0.02386783605730187,0.16466080996748148
6 lags,PIB real,52,-0.21126604147372868,-0.021852424813690593,0.16396559382062473
6 lags,PIB real,53,-0.21175990366697633,-0.021125881236915414,0.16317854723570038
6 lags,PIB real,54,-0.21032235250873452,-0.02046306613311325,0.16257785061938682
6 lags,PIB real,55,-0.2086507668647505,-0.019814402917963478,0.16196517737870106
6 lags,PIB real,56,-0.21157762637390767,-0.019019615207962755,0.16239883616336365
6 lags,PIB real,57,-0.2076749423053903,-0.018022982873763575,0.16487333013815877
6 lags,PIB real,58,-0.2030889825588128,-0.014480884706968152,0.16727471139644323
6 lags,PIB real,59,-0.20111528676699225,-0.012965959586746727,0.16959706547359027
6 lags,PIB real,60,-0.19914253825116593,-0.012485786461632117,0.1720186334860726
Amostra 1997-2008,PIB real,0,-0.1397630182953943,-0.014361194351818096,0.1336363284728059
Amostra 1997-2008,PIB real,1,-0.13590571036240595,-0.0366497430236314,0.07725305243043033
Amostra 1997-2008,PIB real,2,-0.1416694019968401,-0.04017562804451068,0.08473215886191715
Amostra 1997-2008,PIB real,3,-0.1588998083163262,-0.04713517260101614,0.09015127051173222
Amostra 1997-2008,PIB real,4,-0.16249901764381752,-0.0424970811667941,0.08981609880439055
Amostra 1997-2008,PIB real,5,-0.173319495649203,-0.029491480927663474,0.10226565433516642
Amostra 1997-2008,PIB real,6,-0.177508021225393,-0.023293342530766252,0.11885007039745839
Amostra 1997-2008,PIB real,7,-0.18349900594912336,-0.02056252374322997,0.13389063066986628
Amostra 1997-2008,PIB real,8,-0.1814918165668467,-0.019729175426471852,0.14938259773272805
Amostra 1997-2008,PIB real,9,-0.17761193139352824,-0.010194445725482514,0.16330932879605092
Amostra 1997-2008,PIB real,10,-0.16624327559633603,-0.0171803922759697,0.17375295806824695
Amostra 1997-2008,PIB real,11,-0.16717037392754502,-0.009579854030034207,0.17772195332441204
Amostra 1997-2008,PIB real,12,-0.16920303346372997,-0.003979689646711632,0.18204473756645653
Amostra 1997-2008,PIB real,13,-0.17060263900354725,-0.002465859604269084,0.1858043021498151
Amostra 1997-2008,PIB real,14,-0.16960742188594832,-6.421165041418772e-4,0.18645018669074537
Amostra 1997-2008,PIB real,15,-0.1693449186942556,0.0037366588886334953,0.182580905515064
Amostra 1997-2008,PIB real,16,-0.1697204474533545,-4.4747203701984246e-5,0.17312935099164709
Amostra 1997-2008,PIB real,17,-0.16532168275422054,-0.005619325815047134,0.17006433892199718
Amostra 1997-2008,PIB real,18,-0.1652222153638067,-0.00903236717656173,0.16620208343385004
Amostra 1997-2008,PIB real,19,-0.15888828293334067,-0.007539367371728303,0.16288024899705292
Amostra 1997-2008,PIB real,20,-0.16236820835697505,-0.010508021758707065,0.16795479484324918
Amostra 1997-2008,PIB real,21,-0.16733060395869606,-0.017595659453119347,0.16315657117707436
Amostra 1997-2008,PIB real,22,-0.16573633881411975,-0.017260033713087403,0.15645443639069329
Amostra 1997-2008,PIB real,23,-0.1681868818230199,-0.019085890524752267,0.15154097405059916
Amostra 1997-2008,PIB real,24,-0.17533538212234637,-0.021589561469628583,0.14517012503391022
Amostra 1997-2008,PIB real,25,-0.17821253741315818,-0.02338228412896256,0.14394309295846305
Amostra 1997-2008,PIB real,26,-0.17848497715926323,-0.021344575650116847,0.151058796742013
Amostra 1997-2008,PIB real,27,-0.1804541830697788,-0.02275821167056594,0.15042330702816262
